Margaret Chin,http://council.nyc.gov/d1/images/features/MC_headshot1.jpg,2127887259,2125873159,chin@council.nyc.gov,1
ROSIE MENDEZ,http://council.nyc.gov/d2/image/Photos/d2mendez.jpg,2127887366,2126771077,Rmendez@council.nyc.gov ,2
Corey Johnson,http://council.nyc.gov/d3/images/features/District03_Johnson.jpg,2127886979,2125647757,district3@council.nyc.gov,3
Daniel R. Garodnick,http://council.nyc.gov/d4/images/features/d4garodnick.jpg,2127887393,2128180580,n/a,4
Ben Kallos,http://council.nyc.gov/d5/images/features/District05_Kallos.jpg,2127886865,2128601950,BKallos@council.nyc.gov,5
Helen Rosenthal,"http://council.nyc.gov/d6/images/Rosenthal headshot - brighter, cropped - for CC site.jpg",2127886975,2128730282,Helen@HelenRosenthal.com,6
Mark Levine,http://council.nyc.gov/d7/images/features/marklevine.jpg,2127887007,2129286814,District7@council.nyc.gov,7
Melissa Mark-Viverito,http://council.nyc.gov/d8/images/features/mmv.jpg,2127887210,2128289800,mviverito@council.nyc.gov,8
Inez E. Dickens,http://council.nyc.gov/d9/images/features/d09ignizio.jpg,2127887397,2126784505,n/a,9
Ydanis Rodriguez,http://council.nyc.gov/d10/images/features/YRHS.jpg,2127887053,9175212616,yrodriguez@council.nyc.gov,10
Andrew Cohen,http://council.nyc.gov/d11/images/features/District11_Cohen.jpg,2127887080,7185497300,District11@council.nyc.gov,11
Andy King,http://council.nyc.gov/d12/images/features/CMKING HS 220-311.jpg,2127886873,7186845509,Andy.King@council.nyc.gov,12
James Vacca,http://council.nyc.gov/d13/images/features/d13vacca.jpg,2127887375,7189311721,jvacca@council.nyc.gov,13
Fernando Cabrera,http://council.nyc.gov/d14/images/features/d14cabrera.jpg,2127887074,3475902874,n/a,14
Ritchie Torres,http://council.nyc.gov/d15/images/features/District15_Torres2.jpg,2127886966,7188428100,n/a,15
Vanessa L. Gibson,http://council.nyc.gov/d16/images/features/district16_gibson.jpg,2127886856,7185887500,District16Bronx@council.nyc.gov,16
Maria del Carmen Arroyo,http://council.nyc.gov/d17/images/features/d17arroyo.jpg,2127887384,7184026130,n/a,17
Annabel Palma,http://council.nyc.gov/d18/images/features/d18palma.jpg,2127886853,7187921140,apalma@council.nyc.gov,18
Paul Vallone,http://council.nyc.gov/d19/images/features/District19_Vallone.jpg,2127887250,7186198611,district19@council.nyc.gov,19
Peter Koo,http://council.nyc.gov/d20/images/features/d20koo.jpg,2127887022,7188888747,pkoo@council.nyc.gov,20
Julissa Ferreras,http://council.nyc.gov/d21/images/headshot.jpg,2127886862,7186511917,CD21invites@council.nyc.gov,21
Costa Constantinides,http://council.nyc.gov/d22/images/features/d22.jpg,2127886963,7182744500,costa@council.nyc.gov,22
n/a,n/a,2127886984,7184680137,m23@council.nyc.gov,23
Rory Lancman,http://council.nyc.gov/d24/images/features/District24_Lancman.jpg,2127886956,7182174969,RLancman@council.nyc.gov,24
Daniel Dromm,http://council.nyc.gov/d25/images/features/d25dromm.jpg,2127887066,7188036373,n/a,25
Jimmy Van Bramer,http://council.nyc.gov/d26/images/features/d26vanbramer.jpg,2127887370,7183839566,JVanBramer@council.nyc.gov,26
I. Daneek Miller,http://council.nyc.gov/d27/images/features/District27_Miller.jpg,2127887084,7187763700,District27@council.nyc.gov,27
Ruben Wills,http://council.nyc.gov/d28/images/features/WebSiteCM Wills 1.2.jpg,2127886850,7182062068,n/a,28
Karen Koslowitz,http://council.nyc.gov/d29/images/features/d29koslowitz.jpg,2127886981,7185448800,Koslowitz@council.nyc.gov,29
